Lemma,SFI,Wordlist,
the,87.85,1 - NGSL,
be,86.86,1 - NGSL,
and,84.88,1 - NGSL,
of,84.79,1 - NGSL,
to,84.66,1 - NGSL,
a,84.45,1 - NGSL,
in,83.25,1 - NGSL,
have,81.53,1 - NGSL,
it,81.39,1 - NGSL,
you,81.08,1 - NGSL,
he,80.42,1 - NGSL,
for,80.01,1 - NGSL,
they,79.90,1 - NGSL,
not,79.77,1 - NGSL,
that,79.37,1 - NGSL,
we,79.24,1 - NGSL,
on,78.90,1 - NGSL,
with,78.68,1 - NGSL,
this,78.45,1 - NGSL,
I,78.34,1 - NGSL,
do,78.33,1 - NGSL,
as,78.29,1 - NGSL,
at,77.46,1 - NGSL,
she,77.16,1 - NGSL,
but,77.06,1 - NGSL,
from,76.63,1 - NGSL,
by,76.36,1 - NGSL,
will,76.23,1 - NGSL,
or,76.09,1 - NGSL,
say,75.35,1 - NGSL,
go,75.13,1 - NGSL,
so,75.09,1 - NGSL,
all,75.02,1 - NGSL,
if,74.78,1 - NGSL,
one,74.77,1 - NGSL,
would,74.77,1 - NGSL,
about,74.72,1 - NGSL,
can,74.61,1 - NGSL,
which,74.60,1 - NGSL,
there,74.50,1 - NGSL,
know,74.21,1 - NGSL,
more,74.20,1 - NGSL,
get,74.10,1 - NGSL,
who,74.04,1 - NGSL,
like,73.92,1 - NGSL,
when,73.86,1 - NGSL,
think,73.86,1 - NGSL,
make,73.73,1 - NGSL,
time,73.62,1 - NGSL,
see,73.48,1 - NGSL,
what,73.43,1 - NGSL,
up,73.32,1 - NGSL,
some,73.28,1 - NGSL,
other,73.22,1 - NGSL,
out,73.15,1 - NGSL,
good,73.09,1 - NGSL,
people,73.05,1 - NGSL,
year,72.90,1 - NGSL,
take,72.73,1 - NGSL,
no,72.68,1 - NGSL,
well,72.64,1 - NGSL,
because,72.61,1 - NGSL,
very,72.53,1 - NGSL,
just,72.43,1 - NGSL,
come,72.29,1 - NGSL,
could,72.27,1 - NGSL,
work,72.24,1 - NGSL,
use,72.19,1 - NGSL,
than,72.02,1 - NGSL,
now,71.94,1 - NGSL,
then,71.91,1 - NGSL,
also,71.91,1 - NGSL,
into,71.70,1 - NGSL,
only,71.69,1 - NGSL,
two,71.43,2 - Sup,
look,71.37,1 - NGSL,
want,71.31,1 - NGSL,
give,71.24,1 - NGSL,
